B,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
10,0.1320,0.1330,0.1770,0.1570,0.1430,0.1610,0.1380,0.1930,0.1320,0.1300,0.1710,0.1910,0.1660,0.1680,0.1320,0.1750
250,2.2560,2.2800,2.2640,2.2490,2.2430,2.2630,2.2490,2.2250,2.2650,2.3130,2.2620,2.2270,2.2850,2.2490,2.3120,2.2890
500,4.3920,4.4410,4.4610,4.4260,4.4720,4.4590,4.3790,4.4600,4.4320,4.3970,4.4640,4.4020,4.4140,4.3920,4.4640,4.4340
750,6.8870,6.9240,6.8680,6.9120,6.8830,6.9150,6.9290,6.8970,6.9610,6.9180,6.9620,6.9110,6.8970,6.9000,6.9270,6.9000
1000,9.3390,9.2770,9.3050,9.2520,9.2690,9.2350,9.3160,9.2640,9.3190,9.3400,9.2800,9.3260,9.3510,9.2820,9.2700,9.3420
2500,23.3940,23.4826,23.4235,23.4576,23.4247,23.4878,23.2385,23.2937,23.4409,23.4082,23.2874,23.4289,,23.4630,,23.4421
5000,47.4009,47.3745,47.4370,46.9503,46.9498,47.4228,47.3663,47.3937,47.4054,47.3573,47.4085,47.4256,47.3928,47.4240,47.3987,47.4352
7500,71.0135,70.4515,71.0498,70.4682,71.0004,71.0376,71.0447,71.0561,70.9822,71.0062,71.0515,71.0148,71.0501,71.0053,71.0020,70.9883
10000,,94.9116,94.8467,94.8992,94.2344,94.8718,94.9200,94.8498,94.2029,94.8354,94.8737,94.8596,94.8824,94.8326,94.9301,94.8707
25000,237.3272,235.5621,237.2869,237.3940,237.2757,237.3238,235.6554,237.3702,235.6365,237.3254,237.3788,237.3426,237.3187,237.2959,237.3744,237.3336
