B,time0,time1,time2,time3,time4,time5,time6
10,0.04468203,0.03703642,0.04556394,0.02429914,0.0420897,0.05914474,0.04251361
100,0.03815389,0.03086686,0.04670334,0.09325457,0.06699252,0.03028369,0.05616093
250,0.04979658,0.03454089,,,0.08101559,0.04050136,0.05598831
500,0.93910241,0.93093467,0.89262176,0.88525701,0.92609882,,0.89386415
750,1.78301859,1.79561949,1.7863276,,1.80571294,1.77239347,
1000,2.86653495,2.83643365,2.86754751,2.72079968,2.84931755,2.7277236,2.87670779
2500,8.51456451,8.5348413,,8.56211591,8.56278205,8.51050615,
5000,17.90883064,17.86543918,17.93516612,,17.939785,17.91722226,
7500,27.5924964,27.57167339,27.54704571,27.50911212,,27.5195725,27.58147287
10000,36.72135735,,36.74844503,36.72972965,,36.74964714,36.6841886
25000,93.80007648,,93.6322639,93.68544555,93.67556119,,93.6198926
50000,188.70626926,188.74213648,,188.71701026,188.72693515,,188.7001071
75000,282.71911263,282.76589012,282.71212006,282.84348869,,283.01070642,
