B,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
10,1.025554,1.067968,1.042276,1.060205,1.095602,1.070568,1.040625,1.038765,1.060065,1.089747,1.062735,1.082366,1.108973,1.116143,1.078292,1.070812
100,1.260522,1.269593,1.304875,1.265474,1.269418,1.324465,1.329029,1.275860,1.305301,1.316515,1.241934,1.326545,1.320447,1.277027,1.263039,1.306301
250,1.430774,1.503113,1.490667,1.497913,1.533476,1.545209,1.551867,1.497399,1.517555,1.513149,1.555926,1.495394,1.559447,1.555145,1.538613,1.502634
500,1.941846,1.891781,1.919425,1.938646,1.983219,1.957271,1.955262,1.919506,1.951792,1.990906,1.916101,1.994808,1.973315,2.024574,1.965709,1.934047
750,2.298529,2.309742,2.280079,2.280390,2.306841,2.303744,2.333034,2.294667,2.297688,2.276875,2.327985,2.320732,2.310664,2.303380,2.300394,2.305553
1000,2.898939,2.920671,2.939956,2.953716,2.987950,2.970022,2.873341,2.928081,2.811074,2.875218,2.933589,2.957043,3.010588,2.898535,2.917992,2.970602
2500,5.641057,5.598919,5.676662,5.652121,5.643649,5.667634,5.647723,5.652704,5.660250,5.616766,5.675423,5.667688,5.657361,5.662272,5.652755,5.692556
5000,10.129478,10.112161,10.064412,10.117274,10.167426,10.096329,10.117909,10.147707,10.120063,10.133387,10.159040,10.176450,10.347652,10.160310,10.180745,10.140157
7500,14.876564,14.863140,14.873595,14.899117,14.949010,14.899856,14.922271,14.857997,14.893083,14.881601,14.845306,14.867173,14.936742,14.893647,14.849420,14.887311
10000,19.525200,19.551106,19.513517,19.474398,19.541663,19.559552,19.541914,19.602654,19.525379,19.558741,19.567055,19.523029,19.580441,19.520432,19.561598,19.517482
25000,47.327456,47.296275,47.387182,47.348044,47.363041,47.332461,47.361158,47.355337,47.389324,47.345373,47.359895,47.405786,47.332200,47.306597,47.405006,47.349099
