B,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15
10,0.500777,0.524895,0.522685,0.514214,0.523188,0.534556,0.505615,0.526463,0.550267,0.508053,0.519229,0.515416,0.523838,0.528838,0.509775,0.490837
100,0.576723,0.564243,0.548526,0.522925,0.568652,0.543349,0.53051,0.525944,0.533485,0.573067,0.516675,0.550959,0.571341,0.543115,0.512718,0.525385
250,0.529723,0.529365,0.527455,0.565466,0.537255,0.533064,0.525243,0.532454,0.549587,0.526874,0.523529,0.51645,0.518739,0.552505,0.533493,0.541258
500,0.576017,0.591004,0.599023,0.59091,0.571913,0.554211,0.762892,0.745894,0.693321,0.752193,0.751849,0.711405,0.647973,0.678165,0.69678,0.699755
750,1.639597,1.65669,1.636017,1.649704,1.646698,1.637452,1.63429,1.628214,1.659284,1.610805,1.67148,1.611515,1.641928,1.629528,1.648374,1.629835
1000,1.638315,1.629493,1.632506,1.658422,1.671927,1.668721,1.712225,1.635582,1.660531,1.62953,1.69342,1.63918,1.642908,1.623664,1.653503,1.69462
2500,0.551996,0.564132,0.553999,0.57126,0.549859,0.576874,0.563218,0.567197,0.551727,0.603287,0.579992,0.547902,0.571372,0.534747,0.538012,0.563333
5000,0.618433,0.585178,0.605586,0.58719,0.566165,0.573552,0.588956,0.572134,0.600629,0.631784,0.628499,0.576097,0.582392,0.590378,0.571763,0.611003
7500,0.603165,0.60417,0.5753,0.607412,0.666086,0.583242,0.610135,0.606742,0.623596,0.659121,0.653651,0.62008,0.622918,0.613382,0.640064,0.620001
10000,0.572443,0.599869,0.61089,0.637333,0.578758,0.719736,0.613563,0.76838,0.784613,0.79764,0.744486,0.79418,0.775049,0.773426,0.748893,0.797868
25000,0.722459,0.751166,0.718703,0.725373,0.743067,0.931938,0.776853,0.743707,0.77599,0.735987,0.758193,0.720563,0.7402,0.749947,0.723397,0.719573
50000,2.078275,2.066182,2.056957,2.071175,2.058065,2.074424,2.101442,2.060879,2.037454,2.059644,2.081669,2.092615,2.089378,2.058372,2.103483,2.037224
75000,1.209385,1.265833,1.207085,1.228638,1.220218,1.244407,1.229987,1.206982,1.228503,1.226443,1.216615,1.211416,1.223635,1.208298,1.221729,1.197655
100000,1.449127,1.438765,1.43773,1.442618,1.410364,1.450175,1.445646,1.485184,1.457659,1.443739,1.463832,1.428999,1.481232,1.43442,1.445458,1.426441
