B,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
10,0.994291,1.624399,1.310101,0.948993,1.563008,1.172433,1.068215,1.541220,1.103919,1.704162,2.497349,1.285173,1.789789,1.570034,1.023061,1.707194
100,1.084010,1.775288,1.398030,2.078218,1.710318,1.416920,1.041322,1.734166,1.295642,0.982563,1.538229,1.216502,1.853116,1.501030,1.088833,1.709478
250,1.259838,1.851904,2.541265,1.145776,1.791872,1.465895,1.254856,1.797279,1.214023,2.039072,1.730819,1.395758,1.948001,1.657567,2.212844,1.904720
500,1.743821,2.378098,3.059068,1.698313,2.399966,2.018007,2.619313,2.363123,1.996593,1.674421,2.277631,1.905004,2.548986,2.211720,1.778824,2.385362
750,3.189547,2.632773,2.369352,2.079710,2.730520,2.294857,2.053386,2.686364,2.128518,3.000220,2.648194,3.280538,2.897871,2.558622,2.157645,2.774205
1000,3.099988,2.769518,2.445716,3.085505,3.758810,3.398760,3.061414,2.766267,2.720737,3.085489,2.722191,2.402992,3.047444,3.634651,2.256119,2.957885
2500,5.201891,5.876432,5.541343,6.157424,5.869650,5.504431,5.210896,6.874029,5.224532,6.131943,5.778269,5.432662,6.068894,6.683542,5.291818,5.956348
5000,10.176158,10.814464,10.442548,10.125713,10.758864,10.188379,9.874825,10.517768,10.380835,10.028448,10.445623,10.054180,10.670443,10.350984,9.930020,10.580604
7500,14.607987,15.231720,14.918682,14.578555,15.212226,14.887543,14.550975,16.154016,14.837418,14.521998,15.156424,14.820442,15.451151,15.086671,14.616339,15.304676
10000,19.161172,19.839514,19.496010,19.144448,19.791237,19.446944,19.181474,19.882720,19.446473,20.126528,19.777030,19.395733,20.124908,20.689353,19.267564,19.835975
25000,46.914268,47.554613,47.255712,46.937079,47.866557,47.136968,47.897029,47.622856,48.237478,47.877800,47.521747,47.213199,47.839150,47.669783,47.079634,47.749019
50000,94.435616,94.086334,93.765850,94.358105,93.865736,94.471206,94.203093,93.758388,93.745510,94.119870,94.047179,93.712104,94.390536,93.979484,93.635194,94.277606
75000,141.288276,140.293843,140.104601,140.642177,140.310774,139.898094,140.653839,140.257923,140.044801,141.477086,140.398029,140.000552,140.638878,140.259082,139.831180,140.525636
100000,187.352487,187.198625,186.832308,187.441342,187.081460,186.744441,187.399191,187.120233,187.440772,187.365340,186.947926,187.628165,187.361818,186.978064,186.589355,186.989254
