B,time0,time1,time2,time3,time4,time5,time6
10,0.199081,0.203167,0.187495,0.20317,0.223709,0.203961,0.2235
100,0.193685,0.216159,0.223254,0.219711,0.202362,0.213512,0.214025
250,0.326011,0.194556,0.21309,0.203661,0.22509,0.231217,0.201019
500,0.267067,0.237232,0.219366,0.220377,0.204236,0.231161,0.284404
750,0.836396,0.763788,0.832623,0.740375,0.844389,1.057694,1.053017
1000,1.038391,1.07082,1.055408,1.036677,1.091913,1.100463,1.056257
2500,3.666436,3.56341,3.600395,3.650505,3.619826,3.584854,3.649454
5000,8.080055,8.018166,8.089761,8.048384,8.076947,8.073383,8.053592
7500,12.513022,12.427885,12.463415,12.447016,12.449195,12.479937,12.520707
10000,16.755305,,16.815972,16.82093,16.769439,16.841854,16.829876
25000,42.732055,42.730513,42.723319,42.7072,42.728027,42.746268,42.73918
50000,86.379228,86.564786,86.560483,86.572842,86.633445,86.838617,86.650909
75000,129.880424,129.824535,129.854352,129.858788,129.826298,129.858873,129.862458
100000,174.089825,174.070546,174.064807,174.079677,174.114788,174.194775,174.133153
