B,time0,time1,time2,time3
10,0.112741,0.131254,0.123086,0.124604
100,0.126845,0.115481,0.131044,0.15553
250,0.138666,0.117246,0.124174,0.1403
500,0.308986,0.353446,0.301887,0.281304
750,0.157592,0.120784,0.158106,0.142007
1000,0.539694,0.752351,0.768051,0.783248
2500,2.936214,2.912317,2.903954,2.905783
5000,7.379714,7.177271,7.211866,7.204026
7500,10.626334,11.255261,11.226449,11.259939
10000,15.831369,15.843707,15.833637,15.845092
25000,39.750002,39.972476,39.973935,39.917974
50000,79.753409,79.693618,80.769916,79.761168
75000,121.595921,121.586568,121.591659,121.713018
100000,162.651881,162.694033,162.71841,162.701024
