B,node0,node1,node2,node3
10,0.139700,0.143839,0.125483,0.146174
100,0.109777,0.145525,0.129807,0.119672
250,0.111976,0.131116,0.114630,0.140222
500,0.207304,0.218132,0.138558,0.198038
750,0.142295,0.151898,0.159535,0.365450
1000,0.550688,0.567715,0.485573,0.550221
2500,2.639776,2.682071,2.685953,NA
5000,7.389275,7.373248,7.360827,7.397433
7500,11.883226,11.878372,NA,11.876846
10000,15.275831,15.301093,NA,15.272354
25000,NA,39.753197,39.749074,39.689998
50000,81.019538,81.049142,81.210665,81.032220
75000,121.572592,NA,121.540389,121.527113
100000,162.850063,162.822721,162.808910,162.832867
