B,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15
10,10.665842,10.880757,10.805192,10.78657,10.769312,10.67434,10.817585,10.737908,10.807151,10.689023,10.738273,10.747554,10.691944,10.691262,10.646353,30.773045
100,10.815274,10.792446,10.859204,10.832712,10.879497,10.773873,11.010194,10.939988,10.839855,11.369589,11.529578,11.356397,11.151443,10.97376,11.209627,10.950162
250,10.858094,10.853726,10.870914,10.875425,10.878807,10.877219,10.899934,10.904323,10.931832,10.871868,10.918805,10.885869,10.964439,10.979706,10.82145,10.834191
500,10.949864,10.933876,10.932133,10.968982,11.250243,11.209009,11.237258,11.174733,11.248284,11.444193,11.428042,11.380071,11.442143,11.157605,11.242007,11.251568
750,11.241103,11.261434,11.233698,11.235941,11.25673,11.218422,11.247413,11.222151,11.276084,11.261775,11.309085,11.351522,11.322631,11.289475,11.294096,11.250931
1000,11.68226,11.776413,11.703626,11.805401,11.822276,11.779958,11.884109,11.796003,11.956604,11.830434,11.857278,11.857904,11.911555,11.876323,11.855609,11.856227
2500,13.686415,13.68479,13.753619,13.715114,13.507199,13.504523,13.813679,14.190874,13.945841,13.769315,13.8759,13.905656,13.97079,13.787953,13.944747,14.16816
5000,18.85625,18.668549,18.489853,18.52237,18.369016,18.661296,18.762248,18.545248,18.546983,18.648004,18.709192,18.902823,18.892929,18.751816,18.806019,18.714583
7500,23.031735,23.021504,22.988691,23.075297,23.06719,22.948714,23.114165,23.10204,23.089064,23.120009,23.047191,23.366539,23.040906,22.872839,22.940004,22.99746
10000,27.634089,27.651999,27.288477,27.29274,27.553791,27.448303,27.559473,27.357211,27.288213,27.913994,27.939939,27.81844,27.911945,27.511483,27.589678,27.490297
25000,54.19745,54.141449,54.081481,54.927386,54.077179,54.114016,54.14032,54.210094,54.130512,54.238229,54.150184,54.100593,54.293843,54.062193,54.329856,54.458849
50000,100.826917,100.920761,100.792581,100.8555,100.876533,100.896523,100.964106,100.954667,101.435758,101.080363,101.527984,101.002732,101.03335,101.020174,101.020918,101.018266
75000,147.484028,147.390569,147.173085,147.255061,147.323041,147.365378,147.7928,147.869574,147.91488,147.906801,148.743851,147.413394,148.58097,147.573403,147.375837,147.416862
100000,,196.563961,196.898379,196.527153,196.580988,196.48786,197.800714,198.162913,196.557436,200.411534,197.670199,197.621703,199.702797,197.355119,196.670175,197.068378
