B,time0,time1,time2,time3
10,0.468918,0.47763,0.49517,0.484617
100,0.478387,0.479252,0.478858,0.520495
250,1.013432,0.950088,0.996256,1.1919
500,0.433975,0.431439,0.421431,0.43611
750,0.9257,0.918637,0.862682,0.907874
1000,0.739825,0.683386,0.69813,0.747081
2500,3.336857,3.290102,3.316908,3.364402
5000,7.267655,7.391182,7.325706,7.506563
7500,11.584546,11.658126,11.51171,11.55969
10000,15.446535,15.340815,15.442973,15.415364
25000,40.569047,40.598708,40.547626,40.724108
50000,84.871561,84.750623,84.339417,84.93921
75000,132.951786,132.916892,131.681702,133.034338
100000,183.550127,183.629962,182.641281,183.951749
