B,time0,time1,time2,time3,time4,time5,time6
10,2.838444,2.814023,2.815112,2.834515,2.886122,2.812627,2.875126
100,2.953059,2.801549,2.843866,2.780422,2.824996,2.796432,2.845238
250,2.7543,2.807638,2.802278,2.81492,2.809168,2.808009,2.875206
500,3.035334,3.066816,2.985395,3.052114,3.091113,3.040178,3.067693
750,2.995913,3.01915,3.028088,2.973459,3.062847,3.03336,3.039515
1000,3.570631,3.458972,3.396487,3.488492,3.498272,3.505405,3.537021
2500,5.942305,5.950123,5.94958,5.992351,6.004698,5.983264,5.942295
5000,10.212934,10.211211,10.24399,10.195038,10.212032,10.422801,10.590853
7500,14.319209,14.318661,14.329193,14.305477,14.317422,14.334383,14.296335
10000,18.857601,18.851651,18.865378,18.815386,18.847239,18.879517,18.899337
25000,44.856005,44.761071,44.737511,45.424044,44.779739,44.801394,44.910028
50000,,90.16457,90.052078,90.284786,90.208253,90.389098,90.697774
75000,137.578132,137.492208,137.428294,139.099681,137.567058,137.622396,138.406596
100000,186.537751,186.373222,185.712443,186.234507,186.153433,185.608346,187.609833
