timestamp,protocol,N,f,B,K,replica,host,time_sec,txs_delivered
2026-06-08 00:19:43,honeybadger,16,5,10,1,0,120.27.215.50,11.171523,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,1,116.62.149.8,10.955045,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,2,47.98.121.97,10.907212,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,3,116.62.240.167,11.067688,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,4,121.43.234.253,10.955156,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,5,121.199.72.252,10.999511,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,6,121.40.130.83,10.981761,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,7,121.40.94.52,11.025332,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,8,120.26.46.218,10.983974,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,9,120.55.86.74,11.02442,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,10,121.40.255.201,11.068576,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,11,121.43.148.183,11.044199,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,12,121.40.158.250,11.047402,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,13,121.40.117.123,11.055697,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,14,121.40.88.101,11.073749,16
2026-06-08 00:19:43,honeybadger,16,5,10,1,15,121.40.118.7,11.029489,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,0,120.27.215.50,10.665842,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,1,116.62.149.8,10.880757,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,2,47.98.121.97,10.805192,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,3,116.62.240.167,10.78657,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,4,121.43.234.253,10.769312,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,5,121.199.72.252,10.67434,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,6,121.40.130.83,10.817585,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,7,121.40.94.52,10.737908,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,8,120.26.46.218,10.807151,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,9,120.55.86.74,10.689023,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,10,121.40.255.201,10.738273,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,11,121.43.148.183,10.747554,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,12,121.40.158.250,10.691944,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,13,121.40.117.123,10.691262,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,14,121.40.88.101,10.646353,16
2026-06-08 00:21:20,honeybadger,16,5,10,1,15,121.40.118.7,30.773045,16
2026-06-08 00:22:28,honeybadger,16,5,100,1,0,120.27.215.50,10.815274,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,1,116.62.149.8,10.792446,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,2,47.98.121.97,10.859204,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,3,116.62.240.167,10.832712,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,4,121.43.234.253,10.879497,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,5,121.199.72.252,10.773873,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,6,121.40.130.83,11.010194,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,7,121.40.94.52,10.939988,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,8,120.26.46.218,10.839855,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,9,120.55.86.74,11.369589,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,10,121.40.255.201,11.529578,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,11,121.43.148.183,11.356397,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,12,121.40.158.250,11.151443,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,13,121.40.117.123,10.97376,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,14,121.40.88.101,11.209627,96
2026-06-08 00:22:28,honeybadger,16,5,100,1,15,121.40.118.7,10.950162,96
2026-06-08 00:38:13,honeybadger,16,5,250,1,0,120.27.215.50,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,1,116.62.149.8,,
2026-06-08 00:38:13,honeybadger,16,5,250,1,2,47.98.121.97,,
