N,B,K,replica,time
4,10,1,0,0.171006
4,10,1,1,0.167639
4,10,1,2,0.135048
4,10,1,3,0.108195
4,100,1,0,0.120452
4,100,1,1,0.161761
4,100,1,2,0.163232
4,100,1,3,0.113155
4,250,1,0,0.136969
4,250,1,1,0.163689
4,250,1,2,0.135123
4,250,1,3,0.115715
4,500,1,0,0.159063
4,500,1,1,0.144400
4,500,1,2,0.139507
4,500,1,3,0.157767
4,750,1,0,0.168939
4,750,1,1,0.127284
4,750,1,2,0.164324
4,750,1,3,0.171062
4,1000,1,0,0.531878
4,1000,1,1,0.569066
4,1000,1,2,0.555437
4,1000,1,3,0.595317
4,2500,1,0,3.199945
4,2500,1,1,3.219565
4,2500,1,2,3.186892
4,2500,1,3,3.179763
4,5000,1,0,7.293906
4,5000,1,1,7.321013
4,5000,1,2,7.300147
4,5000,1,3,7.298547
4,7500,1,0,11.563582
4,7500,1,1,11.536350
4,7500,1,2,11.708469
4,7500,1,3,11.559925
4,10000,1,0,15.801541
4,10000,1,1,15.807110
4,10000,1,2,15.907387
4,10000,1,3,15.554103
4,25000,1,0,40.340463
4,25000,1,1,40.345690
4,25000,1,2,40.496760
4,25000,1,3,40.389232
4,50000,1,0,78.474239
4,50000,1,2,78.493407
4,50000,1,3,78.469509
4,75000,1,0,121.543585
4,75000,1,1,121.519494
4,75000,1,2,121.538768
4,75000,1,3,121.581980
4,100000,1,0,162.562988
4,100000,1,1,162.573934
4,100000,1,2,162.538008
4,100000,1,3,162.517271
