N,B,replica,time
4,10,0,1.451570
4,10,1,1.442887
4,10,2,1.424199
4,10,3,1.494620
4,100,0,1.584258
4,100,1,1.596641
4,100,2,1.604771
4,100,3,1.581963
4,250,0,4.232241
4,250,1,4.208422
4,250,2,4.131318
4,250,3,4.205364
4,500,0,7.979196
4,500,1,7.989783
4,500,2,7.980660
4,500,3,7.986146
4,750,0,12.152404
4,750,1,12.103040
4,750,2,12.172714
4,750,3,12.119497
4,1000,0,16.079572
4,1000,1,16.080360
4,1000,2,16.107162
4,1000,3,16.092067
4,2500,0,40.762386
4,2500,1,40.754853
4,2500,2,40.739923
4,2500,3,40.765187
4,5000,0,81.273746
4,5000,1,81.211374
4,5000,2,81.224083
4,5000,3,81.273887
4,7500,0,122.329294
4,7500,1,122.274640
4,7500,2,122.284943
4,7500,3,122.258308
4,10000,0,162.879056
4,10000,1,162.890281
4,10000,2,162.820467
4,10000,3,162.915237
4,25000,0,407.287907
4,25000,1,407.270986
4,25000,2,407.236784
4,25000,3,407.244300
