B,node0_time,node0_txs,node1_time,node1_txs,node2_time,node2_txs,node3_time,node3_txs
10,1.142654,60,1.151998,60,1.134636,60,1.154134,60
100,1.752343,750,1.760481,750,1.746588,750,1.780469,750
250,3.933497,1860,3.940663,1860,3.926434,1860,3.946187,1860
500,NA,NA,NA,NA,NA,NA,NA,NA
750,12.095919,5610,12.062544,5610,12.019610,5610,12.049909,5610
1000,16.093819,7500,16.107888,7500,16.090768,7500,16.074416,7500
2500,40.477252,18750,40.490350,18750,40.497583,18750,NA,NA
5000,81.154473,37500,81.086448,37500,81.164032,37500,81.126559,37500
7500,124.986519,56250,124.991507,56250,125.000109,56250,124.998899,56250
10000,163.200194,75000,163.167508,75000,163.195471,75000,163.207660,75000
25000,407.022264,187500,406.975906,187500,407.005503,187500,406.995753,187500
50000,NA,NA,NA,NA,NA,NA,NA,NA
75000,NA,NA,NA,NA,NA,NA,NA,NA
