B,node0_time,node0_txs,node0_tps,node1_time,node1_txs,node1_tps,node2_time,node2_txs,node2_tps,node3_time,node3_txs,node3_tps,avg_tps
10,1.14,60,53,1.15,60,52,1.13,60,53,1.15,60,52,53
100,1.75,750,429,1.76,750,426,1.75,750,429,1.78,750,421,426
250,3.93,1860,473,3.94,1860,472,3.93,1860,473,3.95,1860,471,472
500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
750,12.10,5610,464,12.06,5610,465,12.02,5610,467,12.05,5610,466,466
1000,16.09,7500,466,16.11,7500,466,16.09,7500,466,16.07,7500,467,466
2500,40.48,18750,463,40.49,18750,463,40.50,18750,463,NA,NA,NA,463
5000,81.15,37500,462,81.09,37500,462,81.16,37500,462,81.13,37500,462,462
7500,124.99,56250,450,124.99,56250,450,125.00,56250,450,125.00,56250,450,450
10000,163.20,75000,460,163.17,75000,460,163.20,75000,460,163.21,75000,460,460
25000,407.02,187500,461,406.98,187500,461,407.01,187500,461,407.00,187500,461,461
50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
