protocol,B,nodes_done,avg_time_sec,avg_txs,tps
dumbo,10,4,0.3793,6,15.8
dumbo,100,4,0.3609,75,207.8
dumbo,250,4,0.4595,186,404.8
dumbo,500,4,0.3656,375,1025.8
dumbo,750,4,1.0601,561,529.2
dumbo,1000,4,0.8265,750,907.4
dumbo,2500,4,3.224,1875,581.6
dumbo,5000,4,7.9011,3750,474.6
dumbo,7500,3,11.5769,5625,485.9
dumbo,10000,4,15.4058,7500,486.8
dumbo,25000,3,39.9451,18750,469.4
dumbo,50000,4,81.1408,37500,462.2
dumbo,75000,3,121.9609,56250,461.2
dumbo,100000,4,162.8565,75000,460.5
beat,10,4,0.6241,3,4.8
beat,100,4,0.6598,63,95.5
beat,250,4,0.619,150,242.3
beat,500,4,0.6401,297,464.0
beat,750,4,1.267,424,334.6
beat,1000,4,1.0718,571,532.8
beat,2500,4,3.7961,1094,288.2
beat,5000,4,7.4071,2355,318.0
beat,7500,4,11.6387,3289,282.6
beat,10000,4,15.753,6881,436.8
beat,25000,4,38.6141,14409,373.2
beat,50000,4,78.0202,28902,370.4
beat,75000,4,116.7147,32804,281.1
beat,100000,4,156.1129,57721,369.7
